+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
| 51    | 0   | 6    | 45  | 0   | 0   | GET    | /assets/owner-context-DCgOhQtd.js     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1077.000   | 6462.000    | 126.706    |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /assets/bundle-mjs-Dnoi3Axr.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 19912.000  | 318592.000  | 4424.889   |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /assets/api-components-dDIZztSJ.js    | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2007.000   | 32112.000   | 446.000    |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /favicon-32x32.png                    | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 336.000    | 5376.000    | 74.667     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /apple-touch-icon-180x180.png         | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1020.000   | 1020.000   | 1020.000    | 1020.000   |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /assets/route-j6B5sfAw.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 3490.000   | 3490.000   | 38390.000   | 3490.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-Ckv8UtcK.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1148.000   | 1148.000   | 1148.000    | 1148.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-C7CZBETH.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 2244.000   | 2244.000   | 2244.000    | 2244.000   |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/buildings6.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9454.000   | 103994.000  | 4727.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-BkJsE9q1.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1496.000   | 1496.000   | 1496.000    | 1496.000   |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /assets/get-cookie-value-B3QhECDc.js  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 110.000    | 1760.000    | 24.444     |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /favicon.ico                          | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 16958.000  | 271328.000  | 3768.444   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /                                     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 409.000    | 409.000    | 409.000     | 409.000    |
| 1     | 0   | 0    | 0   | 1   | 0   | HEAD   | /apps                                 | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 0    | 0   | 1   | 0   | HEAD   | /api/action                           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 0    | 0   | 1   | 0   | HEAD   | /api/actions                          | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 0    | 0   | 1   | 0   | HEAD   | /_next/data                           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 0    | 0   | 1   | 0   | POST   | /                                     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 568.000    | 568.000    | 568.000     | 568.000    |
+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
